Brand,Product Name,Product Type,Review Body,Review Date,Review Stars,Review Title,URL,User ID
Too Faced,Hangover Replenishing Face Primer,Primer,,01 02 2016,4 stars,"I purchased this product on the recommendation of a Sephora employee (I have combination skin that tends to get more irritated during the winter), and have found that it is moderately helpful, though is causing some breakouts. It also does very little for my oily spots. However, it makes my dry patches look beautiful! However, it is a bit tacky and sticky, and takes time to sink into the skin, which is problematic if I need to slap it on and go. I love using this as a moisturizer on those days when I don't feel like wearing makeup but want glowy skin.
Solution: use two primers - one more mattifying, and this. I recommend this for people with combination skin, as well as those with normal, sensitive skin, though with a caveat. I do believe this is breaking me out, as this is the only thing that has changed in my routine.<div class=""css-xq9yyh "" data-comp=""Box""><button class=""css-nlkkp4 "" type=""button"" data-comp=""Link Box"">…read more</button></div>",https://www.sephora.com/product/hangover-replenishing-face-primer-P387589?icid2=products%20grid:p387589,6.47E+18
Marc Jacobs,Highliner Gel Eye Crayon Eyeliner,Gel Eyeliner,This is the only eyeliner that lasts on my upper and lower lash line. Please give this a chance!!!,01 02 2016,5 stars,Best eyeliner I've ever tried,https://www.sephora.com/product/highliner-gel-crayon-P379434?icid2=products%20grid:p379434,3.73E+18
Marc Jacobs,Highliner Gel Eye Crayon Eyeliner,Gel Eyeliner,"I have terrible allergies. My eyes are always watering! This highliner stays put! Period. Not sure why it isn't working for some, but this stuff is great!",01 02 2016,5 stars,sooooo good,https://www.sephora.com/product/highliner-gel-crayon-P379434?icid2=products%20grid:p379434,4.82E+18
Dior,Diorshow Waterproof Mascara,Mascara,"Been using this mascara for years and it's wonderful for the lashes! You get dark, full and dramatic lashes with DiorShow. For me, I always use the waterproof formula since it stays on the best. It doesn't clump unless yours is old...so, make sure to change it after three months!",01 03 2013,5 stars,"Fantastic, bold and full lashes",https://www.sephora.com/product/diorshow-waterproof-mascara-P99901?icid2=products%20grid:p99901,3.32E+18
Urban Decay,Eyeshadow Primer Potion - Original,Eye Primer,"for the first time EVER my eyeshadow is still on when I get home from work. The first day I tried this i was ready to return it because I still had oily eyelids, but there's a trick to this. IF YOU THINK THIS DIDNT WORK FOR YOU, make sure you apply it from your lash line up to your brow line and give it time to dry! If you don't apply it properly before you apply eyeshadow it's useless. I also applied on my water line to hold my eyeliner and put some under my eye and covered it with the bb cream I apply on my face. FLAWLESS!",01 03 2013,5 stars,AMAZING must-have product,https://www.sephora.com/product/eyeshadow-primer-potion-tube-original-P284716?icid2=products%20grid:p284716,-6.19E+17
Urban Decay,Eyeshadow Primer Potion - Original,Eye Primer,,01 03 2014,5 stars,"This is the best eyeshadow primer out there. I used Nars's and it was great too, but this one was cheaper. I also used the one by ELF, which was great too, but didn't last quite as long. Even though the ELF one is only $1, I went back to this one. It literally makes your eye shadow last all day...no oil, no creases. I wish I could find a foundation that worked like this.",https://www.sephora.com/product/eyeshadow-primer-potion-tube-original-P284716?icid2=products%20grid:p284716,3.33E+17
Too Faced,Hangover Replenishing Face Primer,Primer,"Here is the thing...I was a little skeptical of this stuff, only because I did not know if it would be one of those things where it can not decide if it is a primer or a moisturizer. Well, in my humble opinion it is a moisturizer. With that said, I do not notice that it is a awesome primer but then again I have never looked in the mirror and said ""I have never looked more primed"" with any of my primers so I might not be the expert you need in that arena.
The product itself is light, non greasy and absorbs into the skin with ease. My skin feels soft and wonderful, I use mainly during the day but have been known to mix it with my night cream because it is so soft. I can not get away without mentioning the smell, oh my goodness, the smell. It has a distinct non overpowering coconut scent that I personally love. If you do not like the smelly then this is not for you. I know it claims to do all sorts of magical things and maybe it does and maybe it doesn't but all I know is, is that I love it. One thing...The tube/pump thing. I don't like that. Either be a tube or be a pump. So check it out, it may not change your life but it will make it more happy.",01 03 2015,4 stars,"Feels like silk, Smells like heaven.",https://www.sephora.com/product/hangover-replenishing-face-primer-P387589?icid2=products%20grid:p387589,5.07E+18
Too Faced,Hangover Replenishing Face Primer,Primer,"I really like how easily it goes on - a little goes a long way - great prep for liquid foundation, feels good even over the eyes (gently applied). will repurchase when ready.",01 03 2015,5 stars,Works very well,https://www.sephora.com/product/hangover-replenishing-face-primer-P387589?icid2=products%20grid:p387589,-7.59E+18
Too Faced,Hangover Replenishing Face Primer,Primer,If you dont like silicone based primers this is great for you! I have dehydrated skin and this is perfect. I like to pair this with the Josie Maran Argan Illuminizer! It works perfect together and both give me a healthy glow. When I do use this by itself it makes my skin look healthy and replenished.,01 03 2015,5 stars,Great,https://www.sephora.com/product/hangover-replenishing-face-primer-P387589?icid2=products%20grid:p387589,3.07E+18
Urban Decay,Eyeshadow Primer Potion - Original,Eye Primer,"This primer does exactly what it is supposed to do. I have creased lids and eye shadow always sunk and clumped between the lines. I always wanted a smooth application that would last, and this primer gave me just that. I really recommend this product.",01 03 2015,5 stars,Excellent primer,https://www.sephora.com/product/eyeshadow-primer-potion-tube-original-P284716?icid2=products%20grid:p284716,-6.37E+18
Marc Jacobs,Highliner Gel Eye Crayon Eyeliner,Gel Eyeliner,"I was not at all impressed with this product. I had high hopes, but it faded after only two hours! Not happy at all...",01 03 2015,1 star,not impressed,https://www.sephora.com/product/highliner-gel-crayon-P379434?icid2=products%20grid:p379434,4.14E+18
Urban Decay,All Nighter Long-Lasting Makeup Setting Spray,Setting Spray,"I've been using this product for such a long time (my first bottle has the city nighttime print on it) And I'll keep buying it every time I run out of it. The spray feels nice and cooling on contact, and it really helps my makeup feel settled. It's lasted me through crazy nights out dancing, and hot tropical vacations. My only complaint is that it contains alcohol which does have a drying effect. My skin is oily, so I don't mind as much, but those with drier skin may find it a problem",01 03 2016,4 stars,Works great... wish it was alcohol free,https://www.sephora.com/product/all-nighter-long-lasting-makeup-setting-spray-P263504?icid2=products%20grid:p263504,6.92E+17
Dior,Diorshow Waterproof Mascara,Mascara,"Love Diorshow! Favorite mascara ever. This waterproof version seems to clump a bit more than the regular -- not horribly, but I have to be careful. :)",01 04 2010,4 stars,"Great, seems to clump more than non-waterproof?",https://www.sephora.com/product/diorshow-waterproof-mascara-P99901?icid2=products%20grid:p99901,-1.65E+17
Kat Von D,Tattoo Liner,Liquid Eyeliner,"I've tried a lot of liquid eyeliners and this, by far, is the best. I'm glad it was recommended it to me!",01 04 2014,5 stars,Better than Stila + Urban Decay,https://www.sephora.com/product/tattoo-liner-P245205?icid2=products%20grid:p245205,-6.40E+18
Kat Von D,Tattoo Liner,Liquid Eyeliner,"The staying power of this eyeliner is awesome! Even when I'm crying or sweating and with my oily skin it lasts all day and even stays when I fall asleep with my make up on (bad I know, but it happens).

I love the brush for application as well. Applying any type of liquid eye liner takes PRACTICE. But this brush made my transition to liquid eyeliner easier and allows me to either do a thin or thick line which I love.",01 04 2014,5 stars,Best liquid eyeliner I've ever used!,https://www.sephora.com/product/tattoo-liner-P245205?icid2=products%20grid:p245205,-7.20E+18
Marc Jacobs,Highliner Gel Eye Crayon Eyeliner,Gel Eyeliner,"I hoped this would be a liner that does not run but for me it failed. I use it to line under my eyes and it smudged with every try. Also the crayon is kind of thick so difficult to get a thinner line.

I was disappointed (bought 2) and will give them away as I don't like to return. Was surprised at the high ratings which propelled me to make this purchase: I did not find it as others indicated.",01 04 2015,1 star,disappointed with this product,https://www.sephora.com/product/highliner-gel-crayon-P379434?icid2=products%20grid:p379434,5.01E+18
Urban Decay,Cannonball Ultra Waterproof Mascara,Mascara,"I have such a hard time finding a mascara that actually holds my curl since I have pin straight eyelashes. After stumbling across this one I decided to give it a try (not all waterproof mascaras actually hold my curl). I WAS AMAZED!! I even tested it by washing my face and rubbing my lashes with the water and everything and it STILL held the curl. It is everything I've been looking for and more.. AND it's cruelty free. Yay!!
…read more",01 04 2016,5 stars,amazing,https://www.sephora.com/product/cannonball-ultra-waterproof-mascara-P286303?icid2=products%20grid:p286303:product,9.65E+17
Kat Von D,Tattoo Liner,Liquid Eyeliner,"I accidentally bought this instead of the ink liner by Kat Von D.
The product barely came out and I had to constantly go over the line. I had to return it immediately. The ink liner is 100x better.",01 04 2016,1 star,Purchased by mistake,https://www.sephora.com/product/tattoo-liner-P245205?icid2=products%20grid:p245205,-6.07E+18
Stila,Stay All Day® Waterproof Liquid Eye Liner,Liquid Eyeliner,"I don't like to give bad reviews and I very rarely do, but this eyeliner is awful. It smudged after only about an hour of wear. I even put a shadow primer on and it still smudged. I won't be sending it back, but I will definitely try something else.",01 04 2016,1 star,Disappointing,https://www.sephora.com/product/stay-all-day-waterproof-liquid-eye-liner-P253818?icid2=products%20grid:p253818,-7.40E+18
Urban Decay,All Nighter Long-Lasting Makeup Setting Spray,Setting Spray,"I went out to do a night photoshoot and sealed my makeup with this. Halfway through the night it started raining but when I got back to my house an hour later and checked my makeup was still in place! This spray is incredible and it truly seals your makeup, would definitely buy again!",01 04 2016,5 stars,Stays on forever!,https://www.sephora.com/product/all-nighter-long-lasting-makeup-setting-spray-P263504?icid2=products%20grid:p263504,4.31E+18
Dior,Diorshow Waterproof Mascara,Mascara,Thsi was recommended when I asked that it must be waterproof and the woman assured me it was. I applied it and within 30 minutes I had racoon eyes. I need to return it,01 05 2010,1 star,dior waterproof?,https://www.sephora.com/product/diorshow-waterproof-mascara-P99901?icid2=products%20grid:p99901,4.05E+18
Urban Decay,Cannonball Ultra Waterproof Mascara,Mascara,"Upon reading high praise, this product was purchased. The product was advertised as being ultra-waterproof, and was tested out. The results were found to be pleasing. The product was tested out upon purchase and allowed to remain on the intended testing area, the eyelashes, for 24 hours. During the time it was subjected to a variety of every-day activities and some unusual ones. Throughout the day, and into the night, the product remained in the intended area undisturbed. The product was slept on and although some smudging was apparent after awakening, it still offered definition to the lashes. The smudging was cleared away and the makeup was tested in water. After a long shower featuring both hot and cold temperatures, what was left of the mascara on the lashes after sleeping remained in place, the lashes still defined as they were before the shower. Even liquid dial soap failed to remove the makeup. In the end, waterproof makeup remover was all that could fully remove the mascara from lashes.
…read more",01 05 2014,4 stars,Stays well and doesn't burn eyes,https://www.sephora.com/product/cannonball-ultra-waterproof-mascara-P286303?icid2=products%20grid:p286303:product,1.43E+18
Kat Von D,Tattoo Liner,Liquid Eyeliner,,01 05 2015,5 stars,GREAT! Very precise!,https://www.sephora.com/product/tattoo-liner-P245205?icid2=products%20grid:p245205,8.37E+18
Stila,Stay All Day® Waterproof Liquid Eye Liner,Liquid Eyeliner,"When I was in labor, my sister kept asking what brand of eyeliner I used. Not necessarily what I was focused on at the time, but really speaks to the quality and staying power of this liner!!!! She kept saying ""wow I can't believe it's still there"" lol",01 05 2015,5 stars,Amazing Staying Power,https://www.sephora.com/product/stay-all-day-waterproof-liquid-eye-liner-P253818?icid2=products%20grid:p253818,7.84E+18
Marc Jacobs,Highliner Gel Eye Crayon Eyeliner,Gel Eyeliner,"I just used it for the first time after getting this eyeliner application in a Sephora makeover.
I'm so impressed. It is incredibly easy to wear, specially for beginners like me, with terrible pulse and a desire to achieve cat eye.",01 05 2015,5 stars,Great for beginners,https://www.sephora.com/product/highliner-gel-crayon-P379434?icid2=products%20grid:p379434,-6.52E+18
Urban Decay,Cannonball Ultra Waterproof Mascara,Mascara,,01 05 2016,5 stars,"I have tried many mascaras and there are literally only two that I'm willing to use: this one and the Perfect Mascara Full Definition by Shiseido. They're the only one mascaras that will hold my short ad straight Asian lashes up all day. 

This one holds my curl all day whilst giving length and nice separation. With only one coat, it gives somewhat a natural look. The second coat makes a huge difference compared to just putting one coat; it can make your lashes look voluminous, but not clumpy. 

Side note: because of the numerous bristles on the brush, it's really easy to separate the lashes if you wiggle the wand properly. If you're not careful, it can look clumpy because of the fibers (that also give you length).

As far as the waterproof aspect goes, it depends on my skin's state. The mascara itself is very waterproof and hard to remove unless you have an oil based make up remover. My skin can be an oil producing factory and on those days, I get minimal smudging. If not, I experience no smudging.<div class=""css-xq9yyh "" data-comp=""Box""><button class=""css-nlkkp4 "" type=""button"" data-comp=""Link Box"">…read more</button></div>",https://www.sephora.com/product/cannonball-ultra-waterproof-mascara-P286303?icid2=products%20grid:p286303:product,2.06E+18
Kat Von D,Tattoo Liner,Liquid Eyeliner,"My hands were always shaking shaking shaking when I use eyeliners (that's why I always use pencil eyeliners and smudge it!!). I got this as a sample on its website but it is so great! Easy to apply and stays for a long time (compared with pencils, they stay way longer....) Was thinking about getting a full size one, although it takes me triple time to apply everyday.",01 05 2016,5 stars,Was not good at using liquid eyeliner but ...,https://www.sephora.com/product/tattoo-liner-P245205?icid2=products%20grid:p245205,-3.16E+18
Urban Decay,Cannonball Ultra Waterproof Mascara,Mascara,"I tend to take the phrase waterproof with a grain of salt. I live in Florida after all and have yet to meet a mascara than can withstand sweat, allergies, sudden downpours, and last minute dives in the pool. Until this mascara. As some of the less positive reviews point out this mascara doesn't do much in terms of lengthening or creating voluminous lashes, but I've never come across a mascara that can withstand Florida so well. Not only does it hold up under pressure, it also comes off relatively easily with a remover. I've used waterproof mascaras that have smeared all over the place then refused to come off. If you are looking for something that will last all day and not smudge, even in harsher conditions, this is the mascara for you
…read more",01 05 2017,4 stars,Impressed,https://www.sephora.com/product/cannonball-ultra-waterproof-mascara-P286303?icid2=products%20grid:p286303:product,6.04E+18
FENTY BEAUTY BY RIHANNA,Flyliner Longwear Liquid Eyeliner,Liquid Eyeliner,Still wet....but pen is dry,01 05 2019,2 stars,"<img src=""https://www.sephora.com/productimages/sku/s2094258+sw.jpg"" alt="""" class=""css-1ctithg "" role=""presentation"" data-comp=""Image Box"">Color: Cuz I'm Black",https://www.sephora.com/product/flyliner-longwear-liquid-eyeliner-P17876556?icid2=products%20grid:p17876556,6.19E+17
Urban Decay,All Nighter Long-Lasting Makeup Setting Spray,Setting Spray,"The humidity in Eastern TN is brutal! UD All Nighter Long Lasting Setting Spray really makes a difference in keeping the makeup on my face and not sliding off. 3 sprays are all you need and be sure to hold it away about 10"" I use this with Makeup Forever's Mat Velvet foundation, which, bar none is the best foundation out there! !",01 06 2010,5 stars,This works,https://www.sephora.com/product/all-nighter-long-lasting-makeup-setting-spray-P263504?icid2=products%20grid:p263504,-1.71E+18
Urban Decay,Cannonball Ultra Waterproof Mascara,Mascara,"When it comes to waterproof mascara there is NOTHING better, and believe me I have looked! Urban Decay has created the impossible: a seriously lengthening, volumizing, uber-waterproof, smudge proof mascara!! I am a personal trainer and spin instructor- sweat pours down my face during classes and long outdoor runs. Nonetheless, this mascara stays intact: no racoon eyes, no smudges, no dry eyes (I wear contacts) or caked lashes. If only they made a waterproof eyeliner as stealthy!! I am a die hard fan of the length, volume, and wear I get from Benefit's Bad Gal Lash, but the waterproof version doesn't live up to its name, so I have found a beyond worthy replacement! Thanks Urban Decay!!!
…read more",01 06 2011,5 stars,Beyond Waterproof,https://www.sephora.com/product/cannonball-ultra-waterproof-mascara-P286303?icid2=products%20grid:p286303:product,8.99E+18
Urban Decay,Cannonball Ultra Waterproof Mascara,Mascara,I tested this out memorial day weekend in Galveston. It was definately water park proof but it was not gulf proof. It survived all sorts of slides and getting dunked at the schliiterbahn water park so I am impressed. But as I said it did not survive my swimming in the gulf. In defense of this mascara I'm not sure anything would have survived the waves I was playing in and getting smacked in the face with.,01 06 2011,4 stars,Pretty good.,https://www.sephora.com/product/cannonball-ultra-waterproof-mascara-P286303?icid2=products%20grid:p286303:product,-6.17E+18
Dior,Diorshow Waterproof Mascara,Mascara,Being a lady of age ( : I need to wear a heavy duty eye cream that really works for me. And Dior mascara looks amazing and doesn't smudge under the eye. Thanks for a great product Dior!!!,01 06 2012,5 stars,waterproof and glamorous,https://www.sephora.com/product/diorshow-waterproof-mascara-P99901?icid2=products%20grid:p99901,-5.68E+18
Dior,Diorshow Waterproof Mascara,Mascara,,01 06 2013,4 stars,I usually never splurge on mascara but this one was definitely worth it. I have super straight and thick lashes to begin with and this held the curl with no problems. It makes me look like I`m wearing falsies and I don`t even need to wear eyeliner sometimes. The only problem I found is that it was a little flakey in the beginning and it kept flaking onto my cheeks. I would recommend two coats max.,https://www.sephora.com/product/diorshow-waterproof-mascara-P99901?icid2=products%20grid:p99901,-1.27E+18
Urban Decay,Cannonball Ultra Waterproof Mascara,Mascara,,01 06 2016,5 stars,"Ive almost tried all the mascaras Sephora has to offer. Urban Decay is slaying all the other brands in this department. Perversion mascara gives length, curl and definition but smears on me bc I have oily skin so I have to top it with a waterproof one. Cannonball dose the job very well. not clumpy not chalky and the brush makes application a breeze. The only downfall is it dose flake a little bc of the fibre. But when I wear contact lenses my eyes don't get irritated.<div class=""css-xq9yyh "" data-comp=""Box""><button class=""css-nlkkp4 "" type=""button"" data-comp=""Link Box"">…read more</button></div>",https://www.sephora.com/product/cannonball-ultra-waterproof-mascara-P286303?icid2=products%20grid:p286303:product,5.82E+18
Kat Von D,Tattoo Liner,Liquid Eyeliner,,01 06 2017,4 stars,the way the tip of this liner is designed makes it very quick and easy to apply. It is long wearing and dries quickly. I have purchased this product many times now and i love it.,https://www.sephora.com/product/tattoo-liner-P245205?icid2=products%20grid:p245205,-1.54E+18
Marc Jacobs,Highliner Gel Eye Crayon Eyeliner,Gel Eyeliner,I have been on the hunt for an eyeliner that will stay put on the waterline and this is not it. The color is good and it glides on well. But it immediately started smearing off my waterline and it got smudgy on my lower lash line after just a few hours. I need something with more staying power.,01 06 2017,2 stars,Not good for waterline,https://www.sephora.com/product/highliner-gel-crayon-P379434?icid2=products%20grid:p379434,4.39E+18
Dior,Diorshow Waterproof Mascara,Mascara,The only mascara i will use. I have tried them all,01 07 2010,5 stars,5 Stars!!!!!!!!!!!!!!!,https://www.sephora.com/product/diorshow-waterproof-mascara-P99901?icid2=products%20grid:p99901,-8.84E+18
Dior,Diorshow Waterproof Mascara,Mascara,"I've always heard great things about Dior mascara so I was really excited to purchase this one. I sail almost everyday during the fall and spring so I decided that the waterproof would work best. For the first week I was pleased with the product, but then I started noticing that when used on my lower lashes it would smudge all over the place leaving me with raccoon eyes, not a good look. Once I noticed that I started using it only on my top lashes. It was volumizing and the black color did really define my lashes, but I always felt like they clumped quickly after application. I do love Dior makeup, so I'm hoping I just made a mistake with the waterproof and the normal DiorShow will be more successful.",01 07 2013,3 stars,Surprisingly mediocre mascara,https://www.sephora.com/product/diorshow-waterproof-mascara-P99901?icid2=products%20grid:p99901,-4.82E+18
Urban Decay,All Nighter Long-Lasting Makeup Setting Spray,Setting Spray,This setting spray was a first time purchase for me by one of the sales associates at my Sephora location. I teach/dance salsa and sweat quite a bit and I mentioned while shopping that I needed something to try and control the streaky mess my eye makeup becomes after dancing. It works very well unless you get it in your eye (which I did) and it stung very badly and I needed to begin my makeup all over again because of the tears! As long as you do not spray it in your eyes on accident you should be good to go!,01 07 2013,4 stars,Good Makeup Staple!,https://www.sephora.com/product/all-nighter-long-lasting-makeup-setting-spray-P263504?icid2=products%20grid:p263504,7.40E+18
Marc Jacobs,Highliner Gel Eye Crayon Eyeliner,Gel Eyeliner,"Lovely, creamy texture, however not enough pigment. Colour faded quite quickly. Also, difficult to draw a thin line. Far too pricey for what you get.",01 07 2014,3 stars,Could have been better,https://www.sephora.com/product/highliner-gel-crayon-P379434?icid2=products%20grid:p379434,9.02E+18
Urban Decay,Eyeshadow Primer Potion - Original,Eye Primer,I prefer the old squeeze tube. I think the wand would work if it was more functional.,01 07 2015,5 stars,"Great product, hate the wand",https://www.sephora.com/product/eyeshadow-primer-potion-tube-original-P284716?icid2=products%20grid:p284716,-4.42E+17
Marc Jacobs,Highliner Gel Eye Crayon Eyeliner,Gel Eyeliner,"I never used to wear eyeliner because I couldn't apply it thin enough above my lash line. Then I saw a video on tightlining and I've been hooked ever since. I've bought a lot of different eyeliners looking for one that lasted and in the right color of blue. I found it with this eyeliner in the color Midnight in Paris. I have swatched so many eyeliners on the back of my hands!..lol Recently I was in Sephora and I swatched several different colors of this liner. One of the girls at Sephora saw me trying to wipe off my hand with make up remover and came over to help. She ended up having to use a spoolie brush to scrub off the swatches! Besides the color and staying power, I just love how easy this liner is to use. They're not too hard and they're not too soft. They just glide on easily with great color payoff. I've been debating the hot pink color. :-)",01 07 2015,5 stars,Great for Tightlining and Lasts All Day!,https://www.sephora.com/product/highliner-gel-crayon-P379434?icid2=products%20grid:p379434,5.25E+18
Kat Von D,Tattoo Liner,Liquid Eyeliner,"I really liked this eyeliner, it shows up really nicely and stays on through a lot. I did a cat eye the morning my boyfriend broke up with me and at the end of the day it was still on even after all the crying. Even if my heart is all wonky, at least my liner looks good.",01 07 2016,5 stars,Stays on through a lot,https://www.sephora.com/product/tattoo-liner-P245205?icid2=products%20grid:p245205,8.90E+18
Stila,Stay All Day® Waterproof Liquid Eye Liner,Liquid Eyeliner,"This is the best eyeliner I've ever used. Eyeliner is my thing. The big dramatic wings, heavy and bold. This eyeliner is the only stuff I will use. I am a vocalist In a rock band. When I'm up on stage sweating and running around at the end of the set this eyeliner does not budge and stays perfect through the day and a whole show. I'm not even going to lie I would marry this eyeliner if I could.",01 07 2016,5 stars,my one and only,https://www.sephora.com/product/stay-all-day-waterproof-liquid-eye-liner-P253818?icid2=products%20grid:p253818,-8.90E+18
Stila,Stay All Day® Waterproof Liquid Eye Liner,Liquid Eyeliner,"Eyeliner is one of the few things that I can't leave home without, and the Stila All Day Waterproof Eyeliner in Jet Black is my holy grail product. The tip makes it so easy to create a wing and control the thickness of application. Plus, I never worry about this rubbing off, smearing, or washing off in rain. Even though it's pricier that many other liquid eyeliners, it's so worth it! I'll continue to repurchase this! *Tips: Just make sure to store it with the tip down to prevent it from drying out too quickly. Also, once it does dry out, I still use this to then apply other gel eyeliners that come in jars.",01 07 2016,5 stars,Holy grail eyeliner,https://www.sephora.com/product/stay-all-day-waterproof-liquid-eye-liner-P253818?icid2=products%20grid:p253818,7.77E+18
Urban Decay,Eyeshadow Primer Potion - Original,Eye Primer,,01 07 2017,5 stars,"This primer is amazing. I have very oily lids- it took me so long to find a primer that kept my eye shadows lasting all day. It has a smooth application and provides a nice matte base for my shadows, and it doesn't leave your makeup creased. I've had days where I would wear makeup for 12  hours and seriously, my eye makeup looked as if I had just applied it. This is definitely a must for someone who has oily skin.",https://www.sephora.com/product/eyeshadow-primer-potion-tube-original-P284716?icid2=products%20grid:p284716,2.41E+18
Urban Decay,Cannonball Ultra Waterproof Mascara,Mascara,"I have been trying forever to find something that really stays waterproof on my lashes. Well, no more. This does the trick. Gives me lashes a more substantial appearance. Love it!",01 08 2011,5 stars,Finally something really waterproof,https://www.sephora.com/product/cannonball-ultra-waterproof-mascara-P286303?icid2=products%20grid:p286303:product,8.82E+17
